abstraction	абстракция
invasive	агрессивный
inversion	инверсия
invocation	вызов
invocations	вызовы
invoke	вызывать
invoked	вызывается
involves	включает
isting	статки
jakarta	Джакарта
johnson	Джонсон
juggling	жонглирование
language	язык
latest	последний
layers	слои
learned	ученый
leaving	уход
library	библиотека
lifecycles	Жизненный
lightweight	легкий
likely	вероятно
limited	ограниченное
listed	перечислены
littering	замусоривание
little	немного
loading	загрузка
locale	место
logical	логический
longer	дольше
lookup	искать
loosely	свободно
maintain	поддерживать
manage	управлять
managed	удалось
management	управление
managing	управления
mandating	обязательное
mapping	отображение
mcconnell	Макконнелл
meaningful	смысл
mechanism	механизм
message	сообщение
messages	сообщения
messaging	обмен
method	метод
methods	методы
microsystems	микросистемы
minimally	минимально
mission	миссия
mistake	ошибка
models	модели
modern	современный
modularizes	модуляризирует
module	модуль
modules	модули
motivation	мотивация
namespace	имен
namespaces	Пространства
nection	СОЕДИН
needed	необходимый
normally	обычно
notation	обозначение
notion	понятие
object	объект
objects	объекты
obtain	получать
obtained	полученный
offered	предложенный
offering	предложение
offers	предложения
ongoing	постоянный
optional	необязательный
optionally	опционально
options	опции
oriented	ориентированного
original	оригинал
originally	первоначально
others	другие
overall	общий
paradigm	парадигма
parameterized	параметризованная
partially	частично
participation	участие
particular	особый
passed	прошло
passes	проходит
pattern	шаблон
pendency	нерешенность
perceived	воспринимается
performed	выполняется
persistence	настойчивость
phases	фазы
picking	сбор
picture	картина
pitchfork	вилы
planned	планируемый
platform	платформа
plexity	сложность
plication	пликация
plumbing	водопровод
points	пунктов
policies	полисы
popular	популярный
popularity	популярность
portlet	портлета
possible	возможный
powerful	мощный
predecessors	предшественники
prefer	предпочитать
presentation	презентация
prevents	предотвращает
previously	предварительно
primary	основной
principal	главный
problem	проблема
problems	проблемы
procedure	процедура
processes	процессы
program	программа
programming	программирование
project	проект
projects	проекты
promote	содействовать
promotes	способствует
proper	правильный
properties	свойства
provide	предоставить
provides	обеспечивает
providing	обеспечение
proxying	прокси
public	общественное
published	опубликованный
purpose	цель
quired	потребовавшие
rather	довольно
ration	рацион
reaction	реакция
reasonable	разумный
recent	последний
recipes	рецепты
redirect	переориентировать
reduction	сокращение
reflection	отражение
related	связанный
relational	реляционный
release	релиз
releasing	выпускать
remain	оставаться
reminiscent	напоминающий
remote	удаленный
remoting	удаленного
removes	удаляет
rendering	оказание
represen	представи
representation	представление
representational	репрезентативный
represented	представленный
request	запрос
requests	запросы
require	требовать
required	требуется
requires	требуется
resemblance	сходство
reserved	зарезервированный
resolvers	преобразователи
resolving	решения
resort	курорт
resource	ресурс
resources	ресурсы
response	ответ
responsibilities	обязанности
responsibility	ответственность
responsible	ответственный
restrict	ограничивать
result	результат
results	результаты
returned	возвращенный
returning	возврате
reusable	многоразовый
reused	повторно
runtime	время
saving	экономия
scattered	рассеянный
scenic	сценический
scheduling	планирование
secure	обеспечивать
secured	обеспеченный
security	безопасность
seemed	казалось
selecting	выбирающий
sented	излагаемого
separate	отдельный
separating	разделяющий
server	сервер
servers	серверы
service	служба
services	услуги
servlet	сервлет
several	несколько
shortage	нехватка
should	должен
significantly	существенно
simple	простой
simpler	проще
simplicity	простота
simplifies	упрощает
simplify	упростить
simplifying	упрощение
slimmed	похудела
software	программное
solution	решение
solutions	решения
sophisticated	сложный
source	источник
sources	источники
special	специальный
specific	удельный
specification	спецификация
spring	весна
standards	стандарты
started	начал
statement	заявление
states	состояния
stayed	остался
straight	прямо
strange	странный
strategies	стратегии
strategy	стратегия
strictly	строго
string	строка
struts	стойки
subject	тема
submit	представлять
successful	успешный
succinctly	кратко
suffice	достаточно
suited	подходящий
superficial	поверхностный
supplies	принадлежностей
support	поддержка
supported	поддержанный
supports	опоры
switches	переключатели
tapestry	гобелен
tational	ционно
tations	ставления
techniques	методы
template	шаблон
testability	проверяемость
testing	тестирование
themselves	сами
therefore	поэтому
things	вещи
thinking	мышление
though	хотя
through	через
tightly	плотно
together	вместе
traced	проследить
transaction	сделка
transactions	операции
transfer	перевод
transferring	передачи
transition	переход
transitions	переходы
translating	перевод
translation	перевод
transparent	прозрачный
troduced	введенная
turned	оказалось
typical	типичный
understand	понять
unwieldy	громоздкий
unwrapping	разворачивая
uploads	добавления
usefulness	полезность
vanilla	ваниль
variable	переменная
variations	изменения
variety	разнообразие
various	различный
vendors	поставщики
ventional	обычными
version	версия
verter	преобразователь
vidual	дельных
virtually	фактически
wanted	хотел
weaving	ткачество
whatever	неважно
widgets	Виджеты
wiring	электропроводка
working	работа
wrappers	обертки
wrapping	упаковка
writing	письмо
yourself	себя
